Team A,crest
Blackburn Rovers,https://assets-fr.imgfoot.com/media/cache/60x60/club/blackburn-rovers.png
Fulham,https://assets-fr.imgfoot.com/media/cache/60x60/club/fulham.png
Liverpool,https://assets-fr.imgfoot.com/media/cache/60x60/liverpool-663.png
Newcastle United,https://assets-fr.imgfoot.com/media/cache/60x60/club/newcastle-united.png
Queens Park Rangers,https://assets-fr.imgfoot.com/media/cache/60x60/club/queens-park-rangers.png
Wigan Athletic,https://assets-fr.imgfoot.com/media/cache/60x60/club/wigan-athletic.png
Stoke City,https://assets-fr.imgfoot.com/media/cache/60x60/club/stoke-city.png
West Bromwich Albion,https://assets-fr.imgfoot.com/media/cache/60x60/club/west-bromwich-albion.png
Manchester City,https://assets-fr.imgfoot.com/media/cache/60x60/club/manchester-city-fc.png
Arsenal,https://assets-fr.imgfoot.com/media/cache/60x60/arsenal-660.png
Aston Villa,https://assets-fr.imgfoot.com/media/cache/60x60/club/aston-villa.png
Chelsea,https://assets-fr.imgfoot.com/media/cache/60x60/club/chelsea-fc.png
Everton,https://assets-fr.imgfoot.com/media/cache/60x60/everton-674.png
Sunderland,https://assets-fr.imgfoot.com/media/cache/60x60/club/sunderland-afc.png
Swansea City,https://assets-fr.imgfoot.com/media/cache/60x60/swansea-city-afc-logo.png
Bolton Wanderers,https://assets-fr.imgfoot.com/media/cache/60x60/club/bolton-wanderers.png
Norwich City,https://assets-fr.imgfoot.com/media/cache/60x60/club/norwich-city.png
Wolverhampton Wanderers,https://assets-fr.imgfoot.com/media/cache/60x60/club/wolverhampton-wanderers.png
Manchester United,https://assets-fr.imgfoot.com/media/cache/60x60/club/manchester-united-fc.png
Tottenham Hotspur,https://assets-fr.imgfoot.com/media/cache/60x60/club/tottenham-hotspur.png